,,,,,,,,,,,,,十かへりの花,ちとりつか,松のしるし,牛窪連春興,冬のひかり,笠塚百回忌,鷹の石ふみ,旅の日数,麻刈集,落梅花,みちのかけ,花つか集,この供養,松葉塚,五東斎木朶,たまかつら,昔合集,勧進帖,月次撰句集,橋日記,志ら梅,寛政守武祠句集,東境連句会,花鳥楽事,あがたの三月よつき,萩の露,歳旦,春興,寉芝集,馬江連春興,元除春遊,時雨会,青むしろ,秋風紀行,雪月文事　,東境連句会,東境連句会,雛さうし,此君集,無量佛,東境連句会,はつそら,梅花帖,霜のかね,蘿蔓集,蓑虫集,きさらき集,楫枕,あさひらき,趙鳧龍城下歳旦,白蓮華,蓼廻穂,小菊原,藁つと,歳晩集,きねうた,侘草紙,としのやと,煎豆集,ひしのはな,力草,鶯囀梅　,桃桜,しまめぐり,花おし,酔月集,文章観友録,文音録,秋の調,すしかひ,いたびさし,心のたま,銀河,むしの声,川音に,正月は,あはれさは,むつかしき,花御師,万歳や,発句点合巻,つくろはぬ,竜の登　,俳諧西歌仙,はいかい壱軸,奉納八橋山俳諧一軸,四海句双紙,無量品,竹うゑて,月南美,木朶交友録,諸国人名録(B),空は,すかのおかさ,たかむしろ,あとのともし,雁の空,夏古毛利,むかしいま,はつね集,酔月亭夜話,月次五題,伊農太傳,見なれし,月次集,花のこだま,草の名集,種くり,悉金声,牛地紀行,弥生日記,水底の,さみたれ,枇杷の実,安居鐘,五百機集,つきなみ集,あさぢ酒,蘆陰集,飛濃紀佳散,蘆の一もと,十かへり,その葉さへ,花済集,燕岡集,うまのはなむけ,楽しみ草,蝉茸集,狂俳冠句壱編,藪にはとり集,湯のかたみ,和漢俳諧集,ことはくつ,はつ夢,鶴のかしら,諸国人名録(A),はるの霜,むくけかき,こひし笛,苔しみづ,すきそめ集,豆の葉集,鏡魚集,みづおと,保具留万集,はつ雁集,くにまたぎ,秋草集,桐生記行,かりざしき,ちまちだ集,もち花集,竹春集,ほそぬの集,ひとつ鷺 ,俳諧まくら紙集,牛窪集,蓬宇人名録,なゝころび,酒餅集,口綱集,俳諧金色集,まつかさ集,円満集,はなぬす人,俳諧こぼれ炭集,卜晴集,一往集,嘉永人名録,大小発句合,朝かほ,大鶴庵卯選集　,唯うつむいて,椎芝集
歌風(女),岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
此東,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美慶(女),岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龍月,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臥五,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖石,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宗州,岡崎,岡崎市康生町,,,,暁台,"寛政8年,1796",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
也実,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渕鳥,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
律斎,岡崎,岡崎市康生町,,,,暁台,"寛政5年,1793",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
