,,,,,,,,,,,,,十かへりの花,ちとりつか,松のしるし,牛窪連春興,冬のひかり,笠塚百回忌,鷹の石ふみ,旅の日数,麻刈集,落梅花,みちのかけ,花つか集,この供養,松葉塚,五東斎木朶,たまかつら,昔合集,勧進帖,月次撰句集,橋日記,志ら梅,寛政守武祠句集,東境連句会,花鳥楽事,あがたの三月よつき,萩の露,歳旦,春興,寉芝集,馬江連春興,元除春遊,時雨会,青むしろ,秋風紀行,雪月文事　,東境連句会,東境連句会,雛さうし,此君集,無量佛,東境連句会,はつそら,梅花帖,霜のかね,蘿蔓集,蓑虫集,きさらき集,楫枕,あさひらき,趙鳧龍城下歳旦,白蓮華,蓼廻穂,小菊原,藁つと,歳晩集,きねうた,侘草紙,としのやと,煎豆集,ひしのはな,力草,鶯囀梅　,桃桜,しまめぐり,花おし,酔月集,文章観友録,文音録,秋の調,すしかひ,いたびさし,心のたま,銀河,むしの声,川音に,正月は,あはれさは,むつかしき,花御師,万歳や,発句点合巻,つくろはぬ,竜の登　,俳諧西歌仙,はいかい壱軸,奉納八橋山俳諧一軸,四海句双紙,無量品,竹うゑて,月南美,木朶交友録,諸国人名録(B),空は,すかのおかさ,たかむしろ,あとのともし,雁の空,夏古毛利,むかしいま,はつね集,酔月亭夜話,月次五題,伊農太傳,見なれし,月次集,花のこだま,草の名集,種くり,悉金声,牛地紀行,弥生日記,水底の,さみたれ,枇杷の実,安居鐘,五百機集,つきなみ集,あさぢ酒,蘆陰集,飛濃紀佳散,蘆の一もと,十かへり,その葉さへ,花済集,燕岡集,うまのはなむけ,楽しみ草,蝉茸集,狂俳冠句壱編,藪にはとり集,湯のかたみ,和漢俳諧集,ことはくつ,はつ夢,鶴のかしら,諸国人名録(A),はるの霜,むくけかき,こひし笛,苔しみづ,すきそめ集,豆の葉集,鏡魚集,みづおと,保具留万集,はつ雁集,くにまたぎ,秋草集,桐生記行,かりざしき,ちまちだ集,もち花集,竹春集,ほそぬの集,ひとつ鷺 ,俳諧まくら紙集,牛窪集,蓬宇人名録,なゝころび,酒餅集,口綱集,俳諧金色集,まつかさ集,円満集,はなぬす人,俳諧こぼれ炭集,卜晴集,一往集,嘉永人名録,大小発句合,朝かほ,大鶴庵卯選集　,唯うつむいて,椎芝集
尾仙,下条,豊橋市下条町,,,,,"天保3年,1832",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好月,下条,豊橋市下条町,,,,,"天保3年,1832",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山学,嵩山,豊橋市嵩山町,,,,,"天保3年,1832",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
春里,川崎,豊橋市川崎町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遊石,赤岩,豊橋市多米町,,,,,,,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
映雲,赤岩,豊橋市多米町,,,,,,,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
和水,赤岩,豊橋市多米町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
木常,魚町,豊橋市魚町,"五代又左衛門,鶴眠亭",,,士郎,"寛政10年,1798","文政3年,1820",54,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,7,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,〇,,,〇,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舟暁,魚町,豊橋市魚町,加藤弥四郎,,,卓池,"文政初期,<1820",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,
梧水,魚町,豊橋市魚町,神宮寺,僧,僧,木朶,"寛政5年,1793",,,,https:/omo-shiroki.jp/azumagarasu/images/sou.jpg,1,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木朶,魚町,豊橋市魚町,"古市木朶,五東斎",宿屋,宿屋,木朶,"延享3年,1746","文化7年,1810",84,犬山で奉公、20歳で俳諧を始め蕉風を学ぶ、吉田で宿屋を開業(日本古典作者辞典),https:/omo-shiroki.jp/azumagarasu/images/yadoya.jpg,20,〇,〇,〇,,,〇,〇,〇,,,〇,〇,,〇,〇,,,,,,,〇,,,〇,〇,,,,,,〇,,,,,,,,,,,,〇,,,〇,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
玉養,魚町,豊橋市魚町,塩屋忠士郎,,,卓池,"天保年間,<1844",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,〇,〇,,,,,,,,,,,,〇,,,,,〇,,〇,,,,〇,,,,,,,,,,
芍美,魚町,豊橋市魚町,鳥居氏,画家,画家,卓池,"天保3年,1832",,,,https://omo-shiroki.jp/azumagarasu/images/eshi.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,
沙斧,魚町,豊橋市魚町,白井清兵衛,,,卓池,"文政初期,<1820",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英三,魚町,豊橋市魚町,渡辺栄蔵,,,卓池,"文化元年,1804",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,〇,,,,〇,,,〇,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古㠶(麦雪),札木町,豊橋市札木町,"植田義方,一逢舎",商人,御用商人,賀茂真淵,"寛政元年,1789","文化3年,1806",73,詩歌や能楽も嗜む(日本古典作者辞典),https:/omo-shiroki.jp/azumagarasu/images/shonin.jpg,11,〇,,,,,,〇,,,,〇,,,〇,〇,,,,,,〇,〇,,,〇,〇,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
木芽,札木町,豊橋市札木町,古市良輔,,,木朶,"享和3年,1803","弘化元年,1844",57,木朶の孫,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,〇,,,,,,〇,,,,〇,,,,,,,,,,,,〇,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,〇,,,,〇,,〇,〇,,,〇,,〇,,,,,,,,〇,,,,,,,〇,〇,,〇,,,,,,,〇,,,〇,,,,,〇,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
霍所,札木町,豊橋市札木町,"松井源八,冨田屋",,,卓池,"天保年間,<1844",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,
雪斗,札木町,豊橋市札木町,小原瀬兵衛,,,卓池,"文政7年,1824",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,
几藤,札木町,豊橋市札木町,藤屋弥吉,,,卓池,"文政7年,1824",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,〇,,〇,,,,〇,,〇,,,〇,,,,,
松雨,札木町,豊橋市札木町,松嶋佐助,,,,"寛政7年,1795",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,,,,,,,,,〇,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竜谷,札木町,豊橋市札木町,"桐屋清介,海老宿",,,卓池,"文政初期,<1820",,,吉田札木和泉屋勘兵衛使,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五禄,札木町,豊橋市札木町,小田五郎作,,,卓池,"文政初期,<1820",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,
南湖,札木町,豊橋市札木町,"富田源四郎,月窓亭,小島屋",宿屋,宿屋,木朶,"寛政10年,1798","文化8年,1811",42,愛知大学総合郷土研究所紀要37,https:/omo-shiroki.jp/azumagarasu/images/yadoya.jpg,8,,,,,,,,,,,,,,,,,,,〇,,〇,,,,,,,,,,〇,,,,,,,〇,,,,,,〇,,,,,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一隠,二川,豊橋市二川町,紅林武右衛門,,,木朶,"寛政5年,1793",,,ニ川連,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,8,,,,,,,,,,,,,,〇,〇,〇,,,〇,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
暁途,二川,豊橋市二川町,,,,,"寛政7年,1795",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,4,,,,,,,,,,,,,,,,〇,,,〇,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杯子,二川,豊橋市二川町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,〇,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南圭,二川,豊橋市二川町,山本長左衛門,,,木朶,"寛政5年,1793",,,ニ川連,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,9,,,,,,,,,,,,,,〇,〇,〇,,,〇,,,〇,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千方,二川,豊橋市二川町,,,,,"文化9年,1812",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石甫,二川,豊橋市二川町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
賢具,二川,豊橋市二川町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英豹,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酔茶,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尺布,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百尺,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百亀,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伍佺,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹夢,二川,豊橋市二川町,,,,,"文化14年,1817",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,
石屏,ニ川,豊橋市二川町新橋町,田村善蔵憲政,商人,米穀屋,卓池,"文政初期,<1820",,,,https:/omo-shiroki.jp/azumagarasu/images/shonin.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,〇,,,,〇,,,,,〇,,,,,,〇,,,,,,,,,,
百甫,ニ川,豊橋市二川町,田村善蔵常政,商人,米穀屋,,"文化元年,1804",,,石屏の父？,https:/omo-shiroki.jp/azumagarasu/images/shonin.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花山,牟呂,豊橋市牟呂町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛤二,牟呂,豊橋市牟呂町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雨速,牟呂,豊橋市牟呂町,,,,,"文化7年,1810",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,
道駕,牟呂,豊橋市牟呂町,,,,,"寛政10年,1798",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亥経,牟呂,豊橋市牟呂町,,,,,"享和2年,1802",,,,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雨足,牟呂,豊橋市牟呂町,,,,,"寛政11年,1799",,,牟呂史より,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忍足,牟呂,豊橋市牟呂町,,,,,"寛政11年,1799",,,牟呂史より,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古船,牟呂,豊橋市牟呂町,,,,,"享和2年,1802",,,牟呂史より,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漁夕,牟呂,豊橋市牟呂町,,,,,"享和3年,1803",,,牟呂史より,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
繁茂,牟呂,豊橋市牟呂町,,,,,"寛政12年,1800",,,牟呂史より,https://omo-shiroki.jp/azumagarasu/images/hatena.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
